,Spit,Approx.Depth..cm.,Ages.kya,OSL,C14,Sediment..kg.,Rocks.Rubble..kg.,Shell..g.,Haematite.Ochre..g.,Local.Coarse.Grained.Quartzite,Fine.Grained.Exotic.Quartzite,Quartz,Crystal.Quartz,Sandstone,Siltstone,Silcrete,Brown.Quartzite,Volcanic.Stone,Highly.Weathered,Oenpelli.Dolerite,Chert,Schist,Mica,Ground.Ochre.Haemetite,Axe.Flake.Frag,Ochre.Stained.Grindstone,Silcon,Bifacial.Point,Grindstone,Ochred.Exfoliation.from.Wall,Yellow.Ochre,Bipolar,Biface,Hammerstone,Redirecting.Flakes,Cores,Retouched,Total.Artefacts
53,10,50,,NA,NA,43.3,1.6,799.4,7.3,9,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,60
54,9,47,,NA,NA,36.1,0.8,698.2,11.3,5,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,35
55,8,41,,NA,NA,33.3,0.3,682.3,10.8,4,1,52,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,,,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,60
56,7,32,,NA,NA,71.8,1.2,1667.5,35.2,11,11,54,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,4,,,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,84
57,6,24,,NA,NA,61.8,0,1504.9,87.7,31,12,44,NA,NA,NA,NA,NA,4,NA,NA,8,NA,NA,9,4,,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,111
58,5,18,,NA,NA,62.1,0,1279.4,71.1,38,15,37,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,9,,,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,108
59,4,13,4.3,NA,4.3,37.3,1.5,342.3,25.7,21,5,30,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,7,,,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,69
60,3,8,,NA,NA,31.6,0,6.2,12.8,14,5,38,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,,,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,61
61,2,6,0.7,NA,0.7,31.6,0,3.6,1.8,35,5,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,89
62,1,1,0.2,NA,0.2,26.6,0.4,2.2,2.5,8,9,47,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,,,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,66
